tree	PolySolver_dlc	PolySolver_nad	PolySolver_dup	PolySolver_lost	PolySolver_rf	PolySolver_maxrf	PolySolver_dinl	PolySolver_p-val	PolySolver_time	ML_time	total_polytomy	polysolver_nsol	best_sol_aLRT	is_bestrf	best_rf
529	31	0	21	17	18	178	5.01001	0.0639639	1.10155010223	11.3207349777	15	1	-58772.638798	True	18
511	20	0	24	31	24	149	3.97252	0.0886637	0.811024904251	8.92113304138	12	1	-63967.30969	True	24
484	16	0	15	19	16	127	4.81632	0.129186	0.65669798851	14.0173299313	11	1	-53801.519937	True	16
584	19	0	13	7	64	149	2838.03	0	1.23159313202	16.3684639931	3	2	-66822.930924	True	64
292	17	0	14	17	14	122	19.6232	0.00975293	0.913118839264	7.10370397568	12	1	-56188.472335	True	14
502	19	0	20	19	14	122	1.55588	0.24565	3.01767992973	21.3031938076	9	1	-60073.478486	True	14
480	23	0	20	19	36	129	142.785	4.3706e-15	0.750313997269	12.2236111164	8	1	-61586.397828	True	36
641	15	0	11	13	22	122	6.65048	0.0869199	0.754112958908	9.36308383942	8	1	-56910.178408	True	22
899	18	0	17	18	10	116	2.51014	0.162793	0.765007019043	18.6662499905	11	1	-56263.637962	True	10
513	26	1	16	30	22	118	24.9038	0.00202339	1.74936199188	8.81913208961	11	1	-51370.532901	True	22
654	16	1	14	5	4	109	3.23356	0.119683	0.761172056198	8.51114702225	9	1	-55114.097695	True	4
722	20	0	13	9	8	111	13.0125	0.0130119	0.852568864822	7.58410191536	14	1	-54217.365865	True	8
123	21	0	17	11	10	110	1.44251	0.207916	0.685576915741	11.8169310093	10	1	-51297.089667	True	10
820	21	0	20	29	22	116	28.6641	0.000444692	1.37953805923	12.72787714	7	1	-49828.986185	True	22
52	13	0	17	28	16	111	5.91266	0.0844354	1.04462099075	9.40805006027	8	1	-39817.14292	True	16
279	21	2	14	13	16	111	13.0461	0.0152309	0.694660902023	6.92803812027	9	1	-40842.071763	True	16
537	23	4	18	23	12	109	8.14366	0.0456719	1.44184088707	20.0838620663	8	2	-56318.831967	True	12
950	20	0	16	20	34	118	62.1321	2.00696e-06	0.603750944138	11.4281899929	8	1	-57090.493249	True	34
64	25	0	17	25	16	107	11.2734	0.0279376	0.674422979355	5.4874150753	10	1	-53248.939429	True	16
81	15	0	12	12	16	107	84.8864	2.05491e-09	1.3131570816	4.44393205643	9	1	-50478.93369	True	16
446	17	0	15	29	20	109	2.46434	0.154514	0.757349014282	11.6054258347	8	1	-45597.462682	True	20
596	15	0	12	10	10	104	3.64371	0.161823	0.663263082504	9.2161359787	10	1	-40204.281823	True	10
649	19	2	10	12	14	106	4.30601	0.136838	0.901939868927	16.557694912	10	1	-56636.422723	True	14
374	18	0	15	5	16	105	18.033	0.0196369	0.879644870758	10.3746778965	7	1	-41458.066386	True	16
