tree	Raxml_logL	TreeFix_logL	ProfileNJ95_logL	TruePhylo_logL	Raxml_AU	TreeFix_AU	ProfileNJ95_AU	TruePhylo_AU	Raxml_SH	TreeFix_SH	ProfileNJ95_SH	TruePhylo_SH
631	-51517.958771	-51521.132886	-51523.766134	-51522.828353	0.875	0.238	0.084	0.162	0.915	0.333	0.109	0.169
264	-51222.618586	-51228.548369	-51235.048204	-51229.246005	0.921	0.154	0.009	0.053	0.977	0.206	0.02	0.124
611	-51530.360633	-51536.639808	-51535.719503	-51536.639807	0.914	0.065	0.14	0.066	0.941	0.073	0.134	0.073
229	-48216.042393	-48219.376945	-48226.496744	-48224.542713	0.884	0.236	0.021	0.084	0.912	0.426	0.032	0.087
290	-41423.791989	-41424.483924	-41430.166356	-41425.71206	0.819	0.437	0.043	0.189	0.891	0.738	0.075	0.412
86	-31691.526663	-31694.955434	-31696.069327	-31694.109661	0.904	0.16	0.079	0.191	0.917	0.117	0.079	0.232
39	-37333.980648	-37339.190494	-37341.730457	-37338.168859	0.937	0.099	0.054	0.145	0.977	0.163	0.052	0.252
535	-47200.387532	-47211.197962	-47867.470826	-47216.307064	0.944	0.089	6e-51	0.024	0.982	0.447	0.0	0.353
573	-42798.777048	-42807.418451	-43108.175188	-42809.00447	0.936	0.067	2e-47	0.111	0.988	0.466	0.0	0.437
856	-40136.410704	-40138.386339	-40421.668321	-40138.465145	0.713	0.332	1e-06	0.325	0.902	0.689	0.0	0.668
51	-30722.688443	-30725.544336	-30742.392926	-30724.040821	0.754	0.228	0.002	0.394	0.868	0.528	0.016	0.695
234	-34400.609186	-34401.276681	-34419.584662	-34401.208261	0.697	0.34	0.009	0.446	0.83	0.664	0.027	0.681
411	-32459.626585	-32460.032919	-32477.081652	-32460.032919	0.572	0.464	0.004	0.464	0.761	0.678	0.009	0.678
479	-37062.822996	-37069.052135	-37115.787782	-37075.363892	0.965	0.066	5e-06	0.023	0.987	0.418	0.0	0.17
510	-30232.154384	-30232.154384	-30232.154384	-30232.154384	0.492	0.399	0.474	0.504	0.585	0.906	0.799	0.675
106	-29189.137446	-29192.247715	-29192.247715	-29190.370142	0.811	0.119	0.118	0.328	0.845	0.151	0.151	0.455
111	-30553.997972	-30554.43791	-30561.843738	-30554.43791	0.765	0.366	0.04	0.356	0.83	0.636	0.054	0.636
280	-38791.778665	-38796.041748	-38800.604602	-38795.652475	0.913	0.145	0.033	0.2	0.927	0.199	0.039	0.234
432	-43348.708682	-43353.575731	-43737.847015	-43354.820858	0.95	0.082	6e-39	0.08	0.993	0.545	0.0	0.496
521	-41953.252429	-41959.930553	-42023.34804	-41956.720386	0.932	0.056	4e-40	0.132	0.977	0.351	0.0	0.543
669	-35847.846816	-35852.578896	-35900.485095	-35850.014851	0.84	0.1	4e-07	0.27	0.933	0.41	0.0	0.607
733	-31732.053218	-31734.0425	-31734.265682	-31732.382715	0.75	0.241	0.186	0.463	0.813	0.225	0.206	0.673
17	-24384.258627	-24385.942663	-24386.689563	-24385.942663	0.742	0.309	0.302	0.313	0.824	0.467	0.327	0.467
47	-31688.196958	-31693.294372	-31693.294372	-31688.290201	0.669	0.064	0.064	0.514	0.777	0.075	0.075	0.703
210	-30789.904012	-30792.791391	-30795.719901	-30791.285701	0.849	0.185	0.048	0.333	0.889	0.27	0.073	0.542
513	-40832.623422	-40834.878538	-40844.875238	-40834.878538	0.813	0.253	0.013	0.232	0.854	0.486	0.019	0.486
563	-35338.11987	-35342.395765	-35362.390928	-35344.435614	0.94	0.117	0.002	0.063	0.98	0.39	0.002	0.257
781	-42207.315438	-42209.256637	-42210.377029	-42210.377029	0.829	0.236	0.204	0.204	0.89	0.342	0.199	0.198
320	-27592.48162	-27595.049083	-27604.522023	-27596.967091	0.828	0.303	0.025	0.207	0.907	0.555	0.048	0.369
336	-37652.563926	-37658.581471	-37663.104454	-37656.493984	0.891	0.109	0.041	0.223	0.913	0.127	0.04	0.308
347	-37343.115909	-37344.814812	-37358.361041	-37345.765465	0.808	0.36	0.007	0.188	0.888	0.617	0.019	0.471
383	-27303.346625	-27308.337835	-27327.53889	-27304.368356	0.77	0.081	0.0003	0.405	0.879	0.338	0.002	0.732
747	-36053.309194	-36057.298529	-36054.080721	-36054.038775	0.748	0.125	0.373	0.466	0.876	0.21	0.536	0.541
159	-29227.961234	-29231.257877	-29232.779988	-29229.159129	0.808	0.206	0.099	0.421	0.894	0.327	0.185	0.668
376	-33617.473276	-33622.516248	-33650.502317	-33622.526083	0.873	0.173	0.0004	0.172	0.931	0.392	0.002	0.393
847	-33591.279399	-33593.21243	-33593.21243	-33593.21243	0.792	0.21	0.21	0.209	0.8	0.2	0.2	0.2
11	-28999.018948	-29003.833656	-29003.833656	-29003.833656	0.899	0.102	0.102	0.101	0.886	0.114	0.114	0.114
144	-30198.326056	-30199.494434	-30199.494434	-30199.494434	0.74	0.262	0.261	0.26	0.744	0.256	0.256	0.256
173	-30431.766206	-30437.101688	-30454.402641	-30437.101688	0.966	0.057	0.003	0.057	0.976	0.32	0.014	0.32
506	-29065.238086	-29066.19924	-29066.19924	-29065.819565	0.66	0.141	0.143	0.44	0.711	0.379	0.379	0.44
705	-31244.066782	-31244.066781	-31244.066781	-31244.066781	0.473	0.465	0.482	0.498	0.629	0.923	0.564	0.858
853	-30583.857416	-30585.583764	-30622.468208	-30585.583764	0.808	0.195	0.0003	0.195	0.909	0.532	7e-05	0.532
69	-29351.647207	-29356.015806	-29770.893312	-29352.28861	0.738	0.098	1e-05	0.443	0.886	0.512	0.0	0.796
369	-23319.968204	-23319.968204	-23320.216047	-23319.968204	0.555	0.547	0.352	0.528	0.922	0.878	0.358	0.704
565	-29843.796992	-29844.834032	-29846.620968	-29844.834032	0.774	0.366	0.138	0.364	0.807	0.493	0.173	0.493
752	-34879.635688	-34884.717177	-34894.864584	-34884.714621	0.932	0.079	0.011	0.154	0.992	0.298	0.016	0.316
771	-31762.023466	-31763.623536	-31764.164509	-31763.1588	0.71	0.279	0.252	0.454	0.871	0.569	0.414	0.534
909	-27882.389139	-27883.348975	-27883.349022	-27883.348975	0.619	0.385	0.346	0.351	0.605	0.395	0.395	0.395
954	-36266.17301	-36270.981187	-36299.310802	-36271.217571	0.925	0.119	3e-06	0.09	0.961	0.329	0.0	0.321
966	-30202.191785	-30204.833811	-30204.833811	-30204.833811	0.784	0.217	0.217	0.219	0.782	0.218	0.218	0.218
967	-32245.292582	-32248.124935	-32248.124935	-32248.124935	0.856	0.145	0.146	0.146	0.843	0.157	0.157	0.157
131	-30205.628374	-30207.543295	-30415.061214	-30207.543295	0.749	0.252	1e-74	0.252	0.887	0.579	0.0	0.58
268	-27569.776687	-27570.999999	-27592.926302	-27570.999999	0.667	0.348	0.0003	0.351	0.823	0.612	0.002	0.612
298	-32986.318362	-32986.821274	-32988.939834	-32988.289147	0.846	0.424	0.159	0.185	0.942	0.707	0.268	0.343
314	-35061.640182	-35061.640102	-35099.356012	-35061.640102	0.497	0.495	1e-05	0.465	0.739	0.788	0.0	0.968
316	-27162.869344	-27166.74794	-27166.74794	-27164.563658	0.71	0.142	0.14	0.435	0.74	0.211	0.211	0.483
354	-30735.67764	-30742.942312	-30742.938072	-30738.43328	0.841	0.082	0.063	0.271	0.868	0.067	0.071	0.368
623	-29344.131378	-29344.131377	-29388.95652	-29344.131377	0.496	0.52	2e-13	0.428	0.785	0.812	0.0	0.893
750	-26716.119648	-26722.201472	-26726.448688	-26718.887849	0.854	0.108	0.015	0.283	0.905	0.126	0.033	0.459
780	-25535.16755	-25535.384758	-25535.384758	-25535.384758	0.548	0.452	0.453	0.452	0.555	0.445	0.445	0.445
878	-31701.289555	-31706.195276	-31709.69876	-31705.319005	0.902	0.196	0.097	0.196	0.938	0.276	0.116	0.342
988	-21261.820067	-21263.914051	-21273.038915	-21262.54371	0.656	0.228	0.021	0.576	0.776	0.589	0.076	0.784
80	-25518.630293	-25519.474194	-25536.135361	-25519.474194	0.727	0.323	0.007	0.324	0.844	0.607	0.011	0.607
132	-31408.240876	-31409.24354	-31410.875246	-31409.24354	0.789	0.337	0.2	0.34	0.846	0.514	0.225	0.514
301	-33718.793039	-33724.515245	-33751.933805	-33721.828866	0.863	0.066	0.001	0.247	0.934	0.311	0.0003	0.534
322	-24124.949855	-24129.118817	-24150.308981	-24128.90189	0.838	0.162	0.0005	0.239	0.911	0.387	0.001	0.404
435	-20398.017765	-20399.794698	-20399.794704	-20399.794698	0.782	0.22	0.221	0.22	0.782	0.218	0.218	0.218
466	-20834.055404	-20834.107352	-20836.946623	-20834.107352	0.686	0.539	0.13	0.538	0.784	0.72	0.156	0.72
555	-23958.95663	-23960.539069	-23959.450934	-23960.539069	0.768	0.202	0.389	0.202	0.872	0.266	0.531	0.266
906	-28647.564036	-28649.272023	-28651.935174	-28649.272023	0.8	0.333	0.095	0.332	0.829	0.434	0.121	0.434
194	-26197.666679	-26197.950314	-26201.443416	-26198.826643	0.723	0.45	0.1	0.384	0.849	0.752	0.151	0.533
283	-20708.680092	-20709.446255	-20709.532933	-20709.532933	0.743	0.357	0.236	0.235	0.748	0.306	0.292	0.292
311	-24735.139348	-24737.180904	-24746.520643	-24737.180904	0.79	0.289	0.014	0.288	0.846	0.514	0.034	0.514
359	-29356.108121	-29356.126482	-29358.902239	-29356.126482	0.6	0.397	0.125	0.606	0.717	0.742	0.173	0.742
484	-30090.791652	-30093.814759	-30094.761808	-30093.814759	0.9	0.173	0.085	0.172	0.903	0.142	0.094	0.142
498	-19094.596208	-19096.418453	-19101.149415	-19096.418453	0.813	0.335	0.069	0.306	0.846	0.496	0.106	0.496
540	-32590.248482	-32595.247426	-32647.312144	-32595.247426	0.923	0.078	1e-14	0.077	0.951	0.385	0.0	0.385
867	-27355.526397	-27356.662078	-27359.056932	-27356.662078	0.816	0.309	0.064	0.307	0.841	0.453	0.094	0.453
