tree	leaves	TruePhylo_dlc	Raxml_dlc	Raxml_rf	Raxml_maxrf	Treefix_dlc	Treefix_rf	Treefix_maxrf	Treefix_dinl	Treefix_p-val	Treefix_time	TruePhylo_nad	TruePhylo_dup	TruePhylo_lost	Raxml_nad	Raxml_dup	Raxml_lost	Treefix_nad	Treefix_dup	Treefix_lost
631	58	23	44	16	122	28	16	123	3.16808	0.170463	62.7146499157	0	15	8	3	18	24	0	18	10
264	49	19	30	12	102	18	4	99	5.81339	0.118224	57.000442028	0	11	8	2	11	18	0	11	7
611	47	16	37	12	98	16	0	93	6.0764	0.0647979	58.2310469151	0	11	5	4	12	21	0	11	5
229	46	20	44	22	101	24	12	97	2.96188	0.193277	109.130455017	0	18	2	3	20	22	0	19	5
290	44	22	28	10	91	21	4	89	0.682059	0.285331	43.291852951	0	13	9	1	13	15	0	13	8
86	42	15	29	10	87	14	2	84	3.31112	0.106499	26.3351371288	0	12	3	3	12	14	0	12	2
39	41	16	27	10	85	16	8	85	5.01057	0.0748234	34.2492661476	0	11	5	2	12	14	0	12	4
535	41	14	112	48	104	43	38	100	11.171	0.0726703	618.469274044	0	9	5	10	15	86	3	10	30
573	41	17	81	32	96	59	26	94	8.39728	0.0516359	778.250880003	0	8	9	7	10	63	1	12	46
856	41	16	39	16	88	18	6	84	1.84452	0.283651	107.318995953	0	10	6	3	12	27	0	11	7
51	38	20	35	10	79	17	10	80	2.80192	0.224272	35.376283884	0	10	10	3	11	21	0	10	7
234	38	17	23	8	78	18	4	77	0.726419	0.334252	23.5387001038	0	9	8	0	11	12	0	10	8
411	38	7	13	6	77	7	0	75	0.345151	0.448462	19.6228430271	0	6	1	1	6	7	0	6	1
479	38	22	52	22	85	33	20	85	6.23156	0.0555667	58.8303399086	0	11	11	4	14	35	1	13	19
510	38	12	12	0	74	12	0	75	-1.21796e-07	0.500067	19.8192279339	0	9	3	0	9	3	0	9	3
106	37	18	29	6	75	16	4	75	3.13351	0.123885	34.883384943	0	8	10	3	8	19	0	8	8
111	37	13	17	2	73	13	0	73	0.425816	0.324556	23.9809858799	0	8	5	1	8	9	0	8	5
280	37	9	36	16	80	8	2	74	4.07808	0.109935	23.1268970966	0	6	3	6	6	24	0	6	2
432	37	19	59	24	84	38	18	82	4.91382	0.0705814	553.123361826	0	10	9	7	12	47	2	12	24
521	37	13	26	10	77	17	8	77	6.63759	0.0515236	43.4859611988	0	6	7	2	7	18	1	7	9
669	37	14	31	10	77	13	4	75	4.73629	0.0936056	37.4463860989	0	10	4	4	10	18	0	10	3
733	37	16	20	2	73	14	4	75	2.02724	0.193997	28.0424129963	0	10	6	1	10	9	0	10	4
17	36	11	19	4	72	11	0	71	1.66376	0.265174	27.5439929962	0	9	2	2	9	9	0	9	2
47	36	14	18	2	71	12	4	73	5.1041	0.0674154	21.0270030499	0	9	5	1	9	9	0	9	3
210	36	15	24	6	73	14	2	72	2.91235	0.136071	26.900384903	0	10	5	2	10	12	0	10	4
513	36	11	34	16	78	11	0	71	2.36382	0.219979	34.6947960854	0	6	5	3	8	23	0	6	5
563	36	13	36	14	77	19	10	76	4.26024	0.100029	27.1264181137	0	8	5	5	9	22	1	9	9
781	36	12	28	12	76	12	2	72	1.79462	0.172357	41.8901321888	0	7	5	3	8	18	0	7	5
320	35	15	30	12	74	17	12	75	2.72814	0.231649	22.3802411556	0	7	8	1	10	21	0	8	9
336	35	16	25	4	70	15	2	70	5.96056	0.0764184	21.4122819901	0	9	7	2	9	14	0	9	6
347	35	13	31	12	74	12	2	70	1.69418	0.232013	26.0249319077	0	7	6	4	8	19	0	7	5
383	35	13	17	2	69	12	2	70	5.17092	0.0967501	22.5925221443	0	6	7	1	6	11	0	6	6
747	35	15	23	6	71	18	6	72	3.89266	0.117015	26.3961069584	0	8	7	1	9	14	0	9	9
159	34	13	21	8	70	15	8	71	3.11877	0.18787	25.6823987961	0	8	5	1	10	11	0	10	5
376	34	14	35	16	74	14	2	68	5.20293	0.131049	29.3895468712	0	7	7	3	9	24	0	7	7
847	34	8	17	6	69	8	0	67	1.82546	0.215118	32.9617919922	0	5	3	2	5	11	0	5	3
11	33	12	19	4	66	12	0	65	4.69889	0.112308	19.9094901085	0	8	4	1	9	9	0	8	4
144	33	10	19	6	67	10	0	65	1.14571	0.260343	21.6319761276	0	7	3	2	7	11	0	7	3
173	33	16	24	4	66	16	0	65	5.27489	0.0595271	21.5130209923	0	10	6	2	10	13	0	10	6
506	33	13	13	2	65	12	2	66	0.910253	0.259719	18.9635128975	0	8	5	0	8	6	0	8	4
705	33	13	13	0	64	13	0	65	-2.42854e-06	0.500461	16.714402914	0	6	7	0	6	8	0	6	7
853	33	6	18	6	67	6	0	65	1.75953	0.188355	34.2449700832	0	4	2	3	4	11	0	4	2
69	32	10	16	6	65	8	4	65	4.39568	0.115602	33.8014168739	0	6	4	1	7	8	0	6	2
369	32	7	7	0	62	7	0	63	-3.01028e-07	0.500144	15.160145998	0	5	2	0	5	2	0	5	2
565	32	11	20	6	65	11	0	63	1.09612	0.28296	20.7669391632	0	8	3	1	9	11	0	8	3
752	32	16	65	20	72	40	20	73	5.32469	0.0666921	368.771429062	0	9	7	2	16	47	0	14	26
771	32	12	17	8	66	12	6	66	1.54294	0.23665	21.1549081802	0	9	3	0	10	8	0	9	3
909	32	11	28	8	66	11	0	63	1.22086	0.374904	26.6615591049	0	7	4	4	7	18	0	7	4
954	32	14	41	16	70	13	4	65	4.77126	0.0777491	51.2296071053	0	7	7	5	7	32	0	6	7
