No module named MySQLdb
         264835017 function calls (263963921 primitive calls) in 556.924 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12891   91.223    0.007   91.223    0.007 {cPickle.dumps}
   747312   61.213    0.000   89.311    0.000 function_base.py:3112(delete)
    12891   49.168    0.004   49.168    0.004 {cPickle.loads}
  3551951   27.452    0.000   27.452    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1266248   23.024    0.000   33.475    0.000 arraysetops.py:283(in1d)
  5527613   21.373    0.000   21.373    0.000 {numpy.core.multiarray.array}
   186828   18.844    0.000   83.045    0.000 ClusteringUtils.py:70(calculate_Q_matrix)
818678/616939   16.567    0.000   24.160    0.000 tree.py:206(__init__)
 12827158   14.416    0.000   21.334    0.000 tree.py:728(_iter_descendants_levelorder)
   373656   13.261    0.000   41.745    0.000 shape_base.py:13(apply_along_axis)
   186828   11.327    0.000   63.128    0.000 Multpolysolver.py:473(getMatrix)
   373656   11.170    0.000   20.822    0.000 ClusteringUtils.py:28(condense_matrix)
   186828    7.864    0.000   49.831    0.000 ClusteringUtils.py:92(paired_node_distance)
  2575679    5.730    0.000    5.730    0.000 {numpy.core.multiarray.zeros}
   421872    5.684    0.000   31.742    0.000 TreeClass.py:106(_copy_node)
  1126049    5.667    0.000    8.796    0.000 tree.py:706(_iter_descendants_postorder)
    95058    5.515    0.000   15.723    0.000 tree.py:908(iter_search_nodes)
  5521744    4.879    0.000   25.308    0.000 numeric.py:392(asarray)
 39999441    4.552    0.000    4.552    0.000 {method 'append' of 'list' objects}
 22452707    4.486    0.000    4.486    0.000 tree.py:162(_get_children)
   747312    4.441    0.000    4.441    0.000 {method 'take' of 'numpy.ndarray' objects}
   373656    4.337    0.000    7.811    0.000 arraysetops.py:93(unique)
     2149    4.097    0.002  127.022    0.059 Multpolysolver.py:225(constructFromPath)
  4841450    3.985    0.000    4.867    0.000 tree.py:563(get_children)
  1639904    3.599    0.000   20.644    0.000 fromnumeric.py:1621(sum)
  3339169    3.459    0.000    7.422    0.000 tree.py:276(add_feature)
29452765/29452467    3.345    0.000    3.346    0.000 {len}
