No module named MySQLdb
         265001657 function calls (264134123 primitive calls) in 589.767 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12891  104.331    0.008  104.331    0.008 {cPickle.dumps}
   747312   66.794    0.000   98.537    0.000 function_base.py:3112(delete)
    12891   57.416    0.004   57.416    0.004 {cPickle.loads}
  3551951   31.897    0.000   31.897    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1266248   25.618    0.000   37.716    0.000 arraysetops.py:283(in1d)
  5527613   24.613    0.000   24.613    0.000 {numpy.core.multiarray.array}
   186828   20.802    0.000   92.902    0.000 ClusteringUtils.py:70(calculate_Q_matrix)
 12827158   14.462    0.000   21.565    0.000 tree.py:728(_iter_descendants_levelorder)
   373656   14.324    0.000   46.253    0.000 shape_base.py:13(apply_along_axis)
   186828   13.425    0.000   70.066    0.000 Multpolysolver.py:465(getMatrix)
   373656   12.227    0.000   23.008    0.000 ClusteringUtils.py:28(condense_matrix)
818678/616939   12.048    0.000   21.655    0.000 tree.py:206(__init__)
   186828    8.701    0.000   55.689    0.000 ClusteringUtils.py:92(paired_node_distance)
  1126049    8.112    0.000   12.691    0.000 tree.py:706(_iter_descendants_postorder)
  2575679    6.584    0.000    6.584    0.000 {numpy.core.multiarray.zeros}
    95058    5.563    0.000   15.438    0.000 tree.py:908(iter_search_nodes)
  5521744    5.359    0.000   28.808    0.000 numeric.py:392(asarray)
 39999099    5.262    0.000    5.262    0.000 {method 'append' of 'list' objects}
   747312    4.925    0.000    4.925    0.000 {method 'take' of 'numpy.ndarray' objects}
 22451085    4.833    0.000    4.833    0.000 tree.py:162(_get_children)
   373656    4.716    0.000    8.540    0.000 arraysetops.py:93(unique)
  1639904    3.976    0.000   24.093    0.000 fromnumeric.py:1621(sum)
     2149    3.954    0.002  130.510    0.061 Multpolysolver.py:216(constructFromPath)
29826421/29826123    3.786    0.000    3.786    0.000 {len}
     1622    3.513    0.002  244.274    0.151 Multpolysolver.py:481(polytomy_preprocessing)
   775882    3.420    0.000    3.420    0.000 {method 'put' of 'numpy.ndarray' objects}
   387941    3.238    0.000    7.605    0.000 ClusteringUtils.py:96(<lambda>)
   387941    3.228    0.000    7.611    0.000 ClusteringUtils.py:76(<lambda>)
   421872    3.222    0.000   19.802    0.000 TreeClass.py:126(_copy_node)
  3515199    3.191    0.000    3.191    0.000 {isinstance}
  4466172    3.053    0.000    3.774    0.000 tree.py:563(get_children)
   186828    3.023    0.000   65.011    0.000 ClusteringUtils.py:116(condense_node_order)
  2039710    2.941    0.000    4.271    0.000 tree.py:946(is_leaf)
   373656    2.927    0.000    5.800    0.000 twodim_base.py:221(diag)
  2532496    2.584    0.000    2.584    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  7572000    2.556    0.000   14.998    0.000 tree.py:622(iter_descendants)
  1639904    2.516    0.000   18.427    0.000 _methods.py:23(_sum)
     1622    2.479    0.002  144.086    0.089 Multpolysolver.py:22(polySolver)
   747333    2.412    0.000    2.412    0.000 {numpy.core.multiarray.empty}
  1523194    2.319    0.000   15.250    0.000 _methods.py:35(_all)
   373656    2.292    0.000    2.292    0.000 {numpy.core.multiarray.concatenate}
